D103_10uM_R1,count
1 , 33079
2 , 14887
3 , 6559
4 , 2915
5 , 1425
6 , 722
7 , 492
8 , 275
9 , 176
10 , 147
11 , 119
12 , 84
13 , 63
14 , 60
15 , 53
16 , 39
17 , 43
18 , 30
19 , 21
20 , 25
21 , 20
22 , 9
23 , 15
24 , 15
25 , 10
26 , 10
27 , 13
28 , 10
29 , 6
30 , 11
31 , 4
32 , 7
33 , 7
34 , 5
35 , 1
36 , 6
37 , 1
38 , 6
39 , 6
40 , 4
41 , 3
43 , 4
44 , 2
45 , 2
46 , 1
47 , 3
48 , 5
49 , 2
50 , 2
51 , 3
52 , 3
53 , 4
54 , 1
55 , 2
56 , 2
58 , 3
59 , 1
60 , 1
61 , 5
62 , 3
63 , 2
64 , 3
65 , 1
66 , 2
67 , 1
72 , 1
73 , 2
75 , 1
76 , 1
77 , 1
78 , 3
79 , 1
80 , 2
81 , 1
84 , 1
87 , 1
88 , 1
91 , 2
92 , 1
93 , 1
96 , 3
99 , 3
101 , 1
102 , 1
104 , 1
109 , 1
111 , 1
112 , 1
113 , 1
116 , 1
117 , 1
121 , 2
123 , 1
127 , 1
128 , 2
132 , 1
134 , 1
135 , 1
141 , 1
143 , 1
145 , 1
150 , 1
156 , 1
159 , 2
169 , 1
170 , 1
173 , 1
184 , 1
195 , 1
203 , 1
207 , 1
216 , 1
221 , 2
229 , 1
230 , 2
239 , 1
240 , 1
261 , 1
297 , 1
300 , 1
323 , 1
329 , 1
336 , 1
357 , 1
365 , 1
391 , 2
400 , 1
420 , 2
425 , 1
440 , 1
444 , 1
452 , 1
483 , 1
494 , 1
501 , 1
516 , 1
518 , 1
520 , 1
532 , 1
539 , 1
540 , 1
550 , 1
577 , 1
648 , 1
652 , 1
654 , 1
664 , 1
681 , 1
682 , 1
714 , 1
722 , 1
769 , 1
839 , 1
849 , 1
939 , 1
961 , 1
963 , 1
993 , 1
1006 , 1
1028 , 1
1034 , 1
1108 , 1
1251 , 1
1257 , 1
1270 , 1
1311 , 1
1329 , 1
1331 , 1
1388 , 1
1456 , 1
1485 , 1
1497 , 1
1512 , 1
1575 , 1
1591 , 1
1664 , 1
1704 , 1
1759 , 1
1781 , 1
1823 , 1
1934 , 1
2004 , 1
2081 , 1
2109 , 1
2165 , 1
2188 , 1
2197 , 1
2206 , 1
2213 , 1
2234 , 1
2328 , 1
2332 , 1
2399 , 1
2400 , 1
2485 , 1
2661 , 1
2699 , 1
2732 , 1
2757 , 1
2861 , 1
2893 , 1
2909 , 1
2911 , 1
2927 , 1
2928 , 1
3106 , 1
3134 , 1
3190 , 1
3218 , 1
3252 , 1
3363 , 1
3452 , 1
3574 , 1
3785 , 1
3895 , 1
3955 , 1
4405 , 1
4794 , 1
4889 , 1
4916 , 1
5377 , 1
5521 , 1
5575 , 1
5769 , 1
5838 , 1
6000 , 1
6463 , 1
7448 , 1
8174 , 1
8272 , 1
22650 , 1
