D103_10uM_R2,count
1 , 29821
2 , 9031
3 , 2732
4 , 884
5 , 319
6 , 173
7 , 111
8 , 84
9 , 58
10 , 31
11 , 43
12 , 31
13 , 18
14 , 26
15 , 16
16 , 26
17 , 16
18 , 11
19 , 17
20 , 8
21 , 14
22 , 14
23 , 8
24 , 8
25 , 8
26 , 9
27 , 7
28 , 4
29 , 7
30 , 8
31 , 7
32 , 6
33 , 4
34 , 4
35 , 3
36 , 5
37 , 4
38 , 9
39 , 6
40 , 2
41 , 6
42 , 1
43 , 4
44 , 3
45 , 4
46 , 2
47 , 4
48 , 2
49 , 2
50 , 2
51 , 1
52 , 6
53 , 5
54 , 3
55 , 5
56 , 3
57 , 1
58 , 3
59 , 1
61 , 2
62 , 3
63 , 5
64 , 2
65 , 3
66 , 2
67 , 1
69 , 5
70 , 1
71 , 4
72 , 4
73 , 1
74 , 5
76 , 2
77 , 2
78 , 2
79 , 2
80 , 3
81 , 6
82 , 3
83 , 2
84 , 2
85 , 3
86 , 1
88 , 2
89 , 2
91 , 1
92 , 1
94 , 2
97 , 1
98 , 1
99 , 2
100 , 1
102 , 2
103 , 4
104 , 4
105 , 2
106 , 2
107 , 3
109 , 1
110 , 1
111 , 2
113 , 1
114 , 2
115 , 2
117 , 1
118 , 1
119 , 1
120 , 1
121 , 1
122 , 1
123 , 2
124 , 1
125 , 2
127 , 1
128 , 2
129 , 1
130 , 1
131 , 1
132 , 2
135 , 3
136 , 4
137 , 1
140 , 2
141 , 2
143 , 1
144 , 2
145 , 1
146 , 1
148 , 1
149 , 2
152 , 1
153 , 1
155 , 2
156 , 1
157 , 1
158 , 1
162 , 1
167 , 1
168 , 1
169 , 2
170 , 1
171 , 2
172 , 1
173 , 1
175 , 2
176 , 1
180 , 1
181 , 1
182 , 1
183 , 2
185 , 1
187 , 2
189 , 2
192 , 1
196 , 1
199 , 3
200 , 1
202 , 3
204 , 2
205 , 2
206 , 1
208 , 1
212 , 3
214 , 1
219 , 1
220 , 3
222 , 1
226 , 1
229 , 1
231 , 1
232 , 1
238 , 1
240 , 1
241 , 1
242 , 3
245 , 1
246 , 2
248 , 2
251 , 1
254 , 1
257 , 1
260 , 1
261 , 1
263 , 1
266 , 1
267 , 1
268 , 1
270 , 2
271 , 3
273 , 1
275 , 1
279 , 2
280 , 2
281 , 1
283 , 1
284 , 2
285 , 1
287 , 1
289 , 1
293 , 1
298 , 1
299 , 1
301 , 1
305 , 1
307 , 2
310 , 3
312 , 2
315 , 2
320 , 1
321 , 1
322 , 1
323 , 1
324 , 2
327 , 1
328 , 2
329 , 1
330 , 1
331 , 1
332 , 2
333 , 1
334 , 1
335 , 1
344 , 1
349 , 1
351 , 1
354 , 1
357 , 1
358 , 1
359 , 1
366 , 3
367 , 2
368 , 3
371 , 1
372 , 2
373 , 1
374 , 2
375 , 1
376 , 1
377 , 1
378 , 1
379 , 1
381 , 2
382 , 1
384 , 1
387 , 1
392 , 2
394 , 2
395 , 1
397 , 1
399 , 1
401 , 1
402 , 1
406 , 3
407 , 1
409 , 2
412 , 1
413 , 1
416 , 1
417 , 1
419 , 1
421 , 1
428 , 1
430 , 1
433 , 2
437 , 1
442 , 1
444 , 1
447 , 1
448 , 1
451 , 2
452 , 2
457 , 1
461 , 1
463 , 3
465 , 2
466 , 1
467 , 1
469 , 1
471 , 1
472 , 1
477 , 1
478 , 1
479 , 2
481 , 1
484 , 1
485 , 1
488 , 1
489 , 1
490 , 1
491 , 1
492 , 1
494 , 1
500 , 3
501 , 1
502 , 2
504 , 1
506 , 1
510 , 1
512 , 1
515 , 2
517 , 1
519 , 1
522 , 2
524 , 1
525 , 1
528 , 1
529 , 1
532 , 2
533 , 1
535 , 1
540 , 1
541 , 1
542 , 1
543 , 2
545 , 1
546 , 1
547 , 1
548 , 2
550 , 2
551 , 1
554 , 2
555 , 1
557 , 1
561 , 1
565 , 2
566 , 1
568 , 1
577 , 1
585 , 1
587 , 2
590 , 1
592 , 1
594 , 2
596 , 1
597 , 1
600 , 1
602 , 1
612 , 1
615 , 1
618 , 1
621 , 1
628 , 1
631 , 1
637 , 1
641 , 1
642 , 1
655 , 1
656 , 3
657 , 1
663 , 1
665 , 3
671 , 1
673 , 1
678 , 1
692 , 1
696 , 1
698 , 1
699 , 2
710 , 1
712 , 1
718 , 1
719 , 1
720 , 1
722 , 1
732 , 1
737 , 1
739 , 1
741 , 1
748 , 1
755 , 1
757 , 1
761 , 1
766 , 1
770 , 1
772 , 1
774 , 2
775 , 1
784 , 1
794 , 1
799 , 2
808 , 1
809 , 1
810 , 1
813 , 1
820 , 2
826 , 1
836 , 1
837 , 2
847 , 1
848 , 1
854 , 1
858 , 1
877 , 1
878 , 1
893 , 1
902 , 1
905 , 1
911 , 1
920 , 1
921 , 1
929 , 1
955 , 1
956 , 1
981 , 1
989 , 1
1004 , 1
1005 , 1
1026 , 1
1030 , 1
1033 , 1
1058 , 1
1070 , 1
1098 , 1
1118 , 1
1137 , 1
1140 , 1
1174 , 1
1232 , 1
1310 , 1
1311 , 1
1313 , 1
1400 , 1
1488 , 1
1519 , 1
1580 , 1
1584 , 1
1707 , 1
1725 , 1
1844 , 1
1891 , 1
2003 , 1
2099 , 1
2183 , 1
2189 , 1
2334 , 1
2487 , 1
2616 , 1
2703 , 1
2821 , 1
3634 , 1
