repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
0,18.0,18.0,0.0,1.0,9.0,52.0
3,21.0,17.0,0.0,0.0,45.0,22.0
6,23.0,32.0,0.0,10.0,50.0,10.0
9,150.0,61.0,7.0,22.0,197.0,19.0
12,28.0,21.0,14.0,11.0,92.0,19.0
15,68.0,23.0,0.0,6.0,104.0,96.0
18,509.0,78.0,0.0,13.0,419.0,152.0
21,704.0,81.0,0.0,0.0,147.0,293.0
24,223.0,209.0,7.0,12.0,452.0,303.0
27,579.0,168.0,13.0,1.0,635.0,472.0
30,1192.0,436.0,0.0,0.0,1442.0,622.0
33,962.0,461.0,0.0,7.0,1003.0,742.0
36,298.0,424.0,0.0,0.0,638.0,159.0
39,77.0,222.0,0.0,0.0,492.0,409.0
42,135.0,133.0,0.0,1.0,478.0,436.0
45,176.0,68.0,0.0,0.0,11.0,453.0
48,183.0,221.0,9.0,3.0,37.0,479.0
51,15.0,261.0,50.0,39.0,234.0,326.0
54,133.0,662.0,631.0,318.0,1832.0,540.0
57,729.0,1302.0,9099.0,3169.0,4321.0,896.0
60,41.0,74.0,103.0,44.0,77.0,182.0
63,154.0,22.0,4.0,2.0,205.0,43.0
66,2.0,11.0,0.0,6.0,86.0,32.0
69,0.0,12.0,7.0,6.0,2.0,2.0
72,0.0,3.0,2.0,5.0,8.0,10.0
75,4.0,6.0,3.0,15.0,3.0,35.0
78,2.0,12.0,2.0,2.0,3.0,18.0
81,2.0,5.0,3.0,3.0,19.0,31.0
84,3.0,4.0,5.0,6.0,49.0,16.0
87,12.0,1.0,4.0,1.0,1.0,5.0
90,89.0,0.0,4.0,2.0,3.0,19.0
93,2.0,3.0,5.0,1.0,8.0,6.0
96,6.0,4.0,11.0,4.0,11.0,1.0
99,4.0,8.0,4.0,3.0,2.0,4.0
102,2.0,6.0,7.0,11.0,14.0,0.0
105,2.0,1.0,8.0,11.0,9.0,0.0
108,1.0,5.0,13.0,10.0,69.0,1.0
111,0.0,10.0,7.0,28.0,24.0,2.0
114,2.0,2.0,12.0,8.0,26.0,1.0
117,1.0,2.0,3.0,4.0,3.0,5.0
120,3.0,2.0,14.0,5.0,2.0,2.0
123,8.0,1.0,10.0,2.0,3.0,4.0
126,18.0,6.0,1.0,10.0,1.0,4.0
129,29.0,7.0,11.0,9.0,1.0,6.0
132,103.0,11.0,18.0,8.0,2.0,2.0
135,215.0,17.0,43.0,14.0,6.0,5.0
138,287.0,46.0,129.0,40.0,15.0,6.0
141,205.0,41.0,367.0,117.0,40.0,20.0
144,40.0,58.0,735.0,315.0,62.0,12.0
147,82.0,34.0,1434.0,798.0,52.0,18.0
150,47.0,6.0,584.0,384.0,10.0,4.0
153,5.0,2.0,16.0,9.0,0.0,2.0
156,0.0,1.0,0.0,0.0,1.0,0.0
162,1.0,1.0,0.0,0.0,0.0,0.0
168,2.0,1.0,0.0,0.0,2.0,0.0
171,1.0,0.0,0.0,0.0,0.0,3.0
174,1.0,1.0,0.0,0.0,0.0,2.0
177,2.0,1.0,0.0,0.0,0.0,2.0
180,1.0,2.0,0.0,0.0,1.0,0.0
183,1.0,1.0,0.0,0.0,0.0,0.0
189,1.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,1.0,0.0
195,0.0,1.0,0.0,0.0,0.0,0.0
216,1.0,0.0,0.0,0.0,0.0,0.0
222,1.0,0.0,0.0,0.0,0.0,0.0
225,1.0,0.0,0.0,0.0,0.0,0.0
228,1.0,0.0,0.0,0.0,0.0,0.0
231,3.0,0.0,0.0,0.0,0.0,0.0
246,1.0,0.0,0.0,0.0,0.0,0.0
258,1.0,0.0,0.0,0.0,0.0,0.0
273,1.0,0.0,0.0,0.0,0.0,0.0
276,1.0,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,1.0,0.0
309,1.0,0.0,0.0,0.0,0.0,0.0
315,1.0,0.0,0.0,0.0,0.0,0.0
324,0.0,0.0,0.0,0.0,1.0,0.0
333,1.0,0.0,0.0,0.0,0.0,0.0
345,1.0,0.0,0.0,0.0,0.0,0.0
387,1.0,0.0,0.0,0.0,0.0,0.0
